,Date,BTC-USD,LTC-USD,NMC-USD,DOGE-USD,XRP-USD,DASH-USD,XMR-USD,XVG-USD,XLM-USD
85,2015-03-27,17274900.0,1109440.0,2491.0,34427.0,439537.0,218735.0,42036.0,395.0,25115.0
86,2015-03-28,16040900.0,843595.0,2256.0,42770.0,186292.0,206446.0,74210.0,1027.0,26230.0
87,2015-03-29,21699400.0,1242080.0,6343.0,59516.0,417819.0,216958.0,58609.0,931.0,6928.0
88,2015-03-29,23009600.0,1297260.0,2976.0,39566.0,977525.0,447970.0,108069.0,764.0,29998.0
89,2015-03-30,22672000.0,1124990.0,8990.0,51069.0,1359970.0,163313.0,216122.0,1371.0,37060.0
90,2015-03-31,22877200.0,1245880.0,4213.0,74921.0,708058.0,242957.0,119203.0,447.0,10523.0
91,2015-04-01,26272600.0,1254970.0,4750.0,32333.0,373395.0,271324.0,88831.0,324.0,16448.0
92,2015-04-02,23146600.0,1053650.0,2588.0,39752.0,1010690.0,138373.0,139293.0,689.0,15430.0
93,2015-04-03,12493500.0,794158.0,1802.0,27405.0,302715.0,185199.0,128977.0,268.0,9276.0
94,2015-04-04,19649200.0,1012920.0,16823.0,66699.0,225068.0,136532.0,143439.0,1599.0,12082.0
95,2015-04-05,20034200.0,1077700.0,12837.0,39167.0,537916.0,115405.0,38051.0,259.0,11075.0
96,2015-04-06,18467400.0,898271.0,10704.0,37381.0,1145350.0,205259.0,95347.0,2473.0,37000.0
97,2015-04-07,30086400.0,1479550.0,11275.0,43839.0,940998.0,144498.0,33421.0,301.0,19430.0
98,2015-04-08,21643500.0,1354130.0,4272.0,42133.0,701874.0,172424.0,24374.0,551.0,14530.0
99,2015-04-09,28882000.0,1448110.0,36959.0,52305.0,494280.0,185593.0,67091.0,1231.0,18291.0
100,2015-04-10,16365200.0,1329260.0,2114.0,33858.0,255991.0,87373.0,45289.0,713.0,26596.0
101,2015-04-11,12387900.0,724290.0,3168.0,23632.0,199412.0,46830.0,22665.0,837.0,99750.0
102,2015-04-12,31181800.0,1316410.0,6874.0,49018.0,372548.0,93897.0,66159.0,169.0,12501.0
103,2015-04-13,31719000.0,1669170.0,5755.0,60205.0,636679.0,68149.0,37452.0,452.0,10358.0
104,2015-04-14,22562000.0,1230190.0,1751.0,49885.0,409098.0,82324.0,21974.0,98.0,7342.0
105,2015-04-15,24805400.0,1098160.0,230254.0,51137.0,246608.0,83054.0,42962.0,339.0,8689.0
106,2015-04-16,20429800.0,1127080.0,15374.0,53563.0,312038.0,118954.0,27205.0,1066.0,11959.0
107,2015-04-17,12939000.0,733823.0,7263.0,22508.0,184595.0,45925.0,39375.0,1304.0,10026.0
108,2015-04-18,15021500.0,984396.0,5966.0,30371.0,197022.0,57969.0,15323.0,357.0,23255.0
109,2015-04-19,18364700.0,959972.0,1309.0,34841.0,710840.0,112126.0,28005.0,2049.0,8072.0
110,2015-04-20,24978000.0,1055230.0,6952.0,49792.0,678946.0,80103.0,101360.0,2463.0,14345.0
111,2015-04-21,23847900.0,1130670.0,13079.0,64337.0,704364.0,191228.0,29956.0,7655.0,7432.0
112,2015-04-22,17036000.0,727959.0,8733.0,52136.0,397132.0,275604.0,45474.0,1270.0,9866.0
113,2015-04-23,21448700.0,1008680.0,6756.0,80204.0,446330.0,184435.0,18883.0,614.0,6647.0
114,2015-04-24,13957200.0,868387.0,3010.0,35264.0,211934.0,56721.0,77248.0,627.0,5959.0
115,2015-04-25,28943700.0,1292150.0,9688.0,67739.0,493776.0,95532.0,19954.0,585.0,8844.0
116,2015-04-26,38574000.0,1465060.0,22006.0,71850.0,779357.0,88755.0,26268.0,3740.0,13546.0
117,2015-04-27,21469200.0,1014190.0,4101.0,39115.0,569295.0,68693.0,97890.0,661.0,9069.0
118,2015-04-28,18936500.0,1372440.0,2731.0,40541.0,549981.0,30506.0,29029.0,370.0,15415.0
119,2015-04-29,33818600.0,2039930.0,11056.0,121523.0,595106.0,84241.0,29589.0,536.0,10060.0
120,2015-04-30,18815300.0,1169670.0,10852.0,110577.0,663959.0,149552.0,13570.0,803.0,5405.0
121,2015-05-01,12535500.0,807758.0,6217.0,69472.0,107649.0,46992.0,12363.0,463.0,10689.0
122,2015-05-02,18494100.0,1673860.0,3714.0,107580.0,438453.0,63544.0,13646.0,376.0,6849.0
123,2015-05-03,21223400.0,1462600.0,3206.0,60746.0,262147.0,104785.0,19414.0,298.0,4015.0
124,2015-05-04,23929100.0,1229630.0,2009.0,63172.0,553536.0,26546.0,22379.0,215.0,6410.0
125,2015-05-05,29587200.0,1100820.0,7668.0,42631.0,475466.0,48370.0,29928.0,534.0,4242.0
126,2015-05-06,29064400.0,1742090.0,3510.0,34179.0,2231440.0,60248.0,29403.0,612.0,17196.0
127,2015-05-07,27445500.0,1444320.0,3177.0,37627.0,369669.0,51411.0,13967.0,270.0,40149.0
128,2015-05-08,19790500.0,1323730.0,1665.0,38434.0,179858.0,35280.0,33579.0,248.0,18016.0
129,2015-05-09,15019100.0,993855.0,2914.0,59389.0,575429.0,57877.0,25842.0,1019.0,6673.0
130,2015-05-10,20892300.0,826032.0,9247.0,52099.0,456632.0,73027.0,40270.0,1978.0,7693.0
